filename,size_bytes,sha256,pdf_pages
CTET Paper-1 August 2023.pdf,881428,a9caa2bdc5b33307a8c6b36f8a4df72cd4909f72cf6739feb71c4c08606b10b7,48
CTET Paper-1 December 2018.pdf,1080735,9a882a02bdeaeb70bdff08d5a761620deaf07b03f0c6d88f76949288a2f07162,38
CTET Paper-1 December 2019.pdf,781682,69699aab2b0a17ad736d309dc20d33e9d7f48536b7a771079ee78ba6dd3b59db,42
CTET Paper-1 December 2021.pdf,819965,d2b6a3e421a2493ae8772dcfbe8cb322926e75c852cae5ff1d29895d4c47010f,41
CTET Paper-1 December 2024.pdf,426315,4441b39df6a8b260505640bd3cb8e73032ab471b9905791398e56308000a01bc,48
CTET Paper-1 February 2014.pdf,457259,243f770fba4958f95282e1e28db36b9cf6a04b26600dd471c25556954ef4cf81,22
CTET Paper-1 February 2015.pdf,430399,9e50cb327ede8fdf7801926ef94556259640dccfb771fd32e0e83632fc2d39c8,20
CTET Paper-1 February 2016.pdf,464615,34bb1d44f6a067bf33fd112c9878a2e59ab8bd821b3f2f08b7f487bd74cea0bd,22
CTET Paper-1 January 2012.pdf,431817,72a9c7ca8b9d573246bba2bf136ee9011aada02540b6639b0731169ee282f088,21
CTET Paper-1 January 2021.pdf,773686,77ceb9af6f07946ec1aec826481cea84015c4ef03392a249804611d1e6539ca5,41
CTET Paper-1 January 2023.pdf,686701,b6bd43badba51aef3fb337ef6fd3c7208543c750f006b5e046274b080010ba12,30
CTET Paper-1 January 2024.pdf,822228,5c486628ae7bc9482c70398d64e831b709fe2d04e8e3b22583613ca85cd5b044,48
CTET Paper-1 July 2013.pdf,392333,994ea79f6819a530d5bac09e0de10d9a456eac7c1632fdbc9dcc701a5371c89e,18
CTET Paper-1 July 2019.pdf,786339,0b8367bf4f171a0d054e6c4b7647202962f53ff75451c00fd6f003121749cbb5,48
CTET Paper-1 July 2024.pdf,419455,36547ab1b2f51b5b4e2adc7bd214fe26efef9187ebb9951bd1ba1d6014403e95,48
CTET Paper-1 June 2011.pdf,442469,8e87aa246e213d8e942d0e8baf2f053b05a5c271b54ba1e98c19442a408f7173,23
CTET Paper-1 November 2012.pdf,437219,7bf4bea2c88759a7d58b20d74dbef2e6e9766a255cdb29bc413613e072cba32d,20
CTET Paper-1 September 2014.pdf,373424,48f3971ef9546cf71a60728c745f3b83a1a29db80ddda8725d67329d8148578f,17
CTET Paper-1 September 2015.pdf,408313,7a0c8725fe26580d352e528a1ea726eb3d070d847c5748ce86778541b80b7917,20
CTET Paper-1 September 2016.pdf,499744,6ed59673831aad1f8f2ab684f612ff00b07da596eba39ba3e9338623a8c14b99,23
CTET Paper-2 December 2024.pdf,1492406,affb50d6b70c782c08e2577fe4c81ad8cf7a6ad006fd444c71d506c1aa4c6f86,80
CTET Paper-2 July 2024.pdf,609459,7fc5f23da945f963919e4d9cfd6e765ed5e00f5737878ca702948796843c6dae,80
CTET Paper-2 Maths Science August 2023.pdf,790402,f171afece4855dd3c3fe2153a16e83f214661ffa58de89d0d70d5445e8ff6fd7,44
CTET Paper-2 Maths Science December 2018.pdf,603789,ffa3f39c57464a9b6a216ab647eb128441531aa48741d7b4727cd33b8b715c70,34
CTET Paper-2 Maths Science December 2019.pdf,704947,8031b03c64ebb9826548af8b61abf33543c50cc0b4ce07337e7e03a710b52492,40
CTET Paper-2 Maths Science December 2021.pdf,764761,c78ea2b96992d42b3664e844f1b6de1d8cf9a83a71718d954d08dee5af363143,40
CTET Paper-2 Maths Science February 2014.pdf,481317,2ccc6df102766744b03642665d3777e68bef12b59802321d2c71bde8dbda5c61,24
CTET Paper-2 Maths Science February 2015.pdf,430514,0fe026da84830fda8986ec545cacc8214904c10427c94ac238907024046cae3c,23
CTET Paper-2 Maths Science February 2016.pdf,455260,bc40c25ff62cb642a9caa64f86debcd98ee31fdfbbaedbf5d65453aa640e2bf6,22
CTET Paper-2 Maths Science January 2012.pdf,460660,f2a1966eb5b7745157ff37d1a2de04fcfe5897559594dac9dbb72428be6797e6,24
CTET Paper-2 Maths Science January 2021.pdf,782278,7a998fed9fa2abaa0aa47f99064bad2ec27120a2dd69520400f0e4d5bcf9d17c,48
CTET Paper-2 Maths Science January 2023.pdf,526400,51b4874273d6ffbd39677c72448befe53b1e2dbdce3dcc5d23e86caee46202d6,26
