exam_cycle,paper,filename,google_drive_id,source_url
2011-06,Paper 1,CTET Paper-1 June 2011.pdf,1_-EfkpDH8YbHBLOtxzj4-GuxErAI0IeU,https://drive.google.com/file/d/1_-EfkpDH8YbHBLOtxzj4-GuxErAI0IeU/view?usp=drive_link
2011-06,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science June 2011.pdf,1T1PBRcmr1cvtrovF2Q_ALr5nuJueqS9W,https://drive.google.com/file/d/1T1PBRcmr1cvtrovF2Q_ALr5nuJueqS9W/view?usp=drive_link
2011-06,Paper 2 Social Studies,CTET Paper-2 SST June 2011.pdf,1RY4KJKQsbAgiKrlxgtnZR4L_6tqz0hte,https://drive.google.com/file/d/1RY4KJKQsbAgiKrlxgtnZR4L_6tqz0hte/view?usp=drive_link
2012-01,Paper 1,CTET Paper-1 January 2012.pdf,1_-L0Se1ogVQq3PGjs4RUmLVoB3anLHVH,https://drive.google.com/file/d/1_-L0Se1ogVQq3PGjs4RUmLVoB3anLHVH/view?usp=drive_link
2012-01,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science January 2012.pdf,1TguTDL87xJ4rkCE7oytqTGx-Kyuj8jek,https://drive.google.com/file/d/1TguTDL87xJ4rkCE7oytqTGx-Kyuj8jek/view?usp=drive_link
2012-01,Paper 2 Social Studies,CTET Paper-2 SST January 2012.pdf,1RYfZ7n4Goid5PmwyAaQDNjBFwuwJHjKq,https://drive.google.com/file/d/1RYfZ7n4Goid5PmwyAaQDNjBFwuwJHjKq/view?usp=drive_link
2012-11,Paper 1,CTET Paper-1 November 2012.pdf,1YDadhe3D73Ud0PwGTPMSkqSnZQZwelrP,https://drive.google.com/file/d/1YDadhe3D73Ud0PwGTPMSkqSnZQZwelrP/view?usp=drive_link
2012-11,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science November 2012.pdf,1TiiPK1DQyr6on6k3zxotbe9Q0ObH54Bj,https://drive.google.com/file/d/1TiiPK1DQyr6on6k3zxotbe9Q0ObH54Bj/view?usp=drive_link
2012-11,Paper 2 Social Studies,CTET Paper-2 SST November 2012.pdf,1S1C3PkFkRECGvEetFWyxco92Wud4bfhT,https://drive.google.com/file/d/1S1C3PkFkRECGvEetFWyxco92Wud4bfhT/view?usp=drive_link
2013-07,Paper 1,CTET Paper-1 July 2013.pdf,1YTmLoOjslsh0L7b9Sg8SDQ2AbqbFDAI5,https://drive.google.com/file/d/1YTmLoOjslsh0L7b9Sg8SDQ2AbqbFDAI5/view?usp=drive_link
2013-07,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science July 2013.pdf,1TmymZojwpDtF4T6Ql8Odmpn1IjuQ9urW,https://drive.google.com/file/d/1TmymZojwpDtF4T6Ql8Odmpn1IjuQ9urW/view?usp=drive_link
2013-07,Paper 2 Social Studies,CTET Paper-2 SST July 2013.pdf,1S3QRn34SKOcxHUbKTuKuJ0hkFpWlIL5-,https://drive.google.com/file/d/1S3QRn34SKOcxHUbKTuKuJ0hkFpWlIL5-/view?usp=drive_link
2014-02,Paper 1,CTET Paper-1 February 2014.pdf,1YV1cceZQcG3huxRJ0gGls6PCO0HYlKBR,https://drive.google.com/file/d/1YV1cceZQcG3huxRJ0gGls6PCO0HYlKBR/view?usp=drive_link
2014-02,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science February 2014.pdf,1To0ju6ukafr6XxRcMkyqsAuwJ1TcdqQF,https://drive.google.com/file/d/1To0ju6ukafr6XxRcMkyqsAuwJ1TcdqQF/view?usp=drive_link
2014-02,Paper 2 Social Studies,CTET Paper-2 SST February 2014.pdf,1SMcZD-FUgptUHz5lb-Jr0Lv8XqMk7AvE,https://drive.google.com/file/d/1SMcZD-FUgptUHz5lb-Jr0Lv8XqMk7AvE/view?usp=drive_link
2014-09,Paper 1,CTET Paper-1 September 2014.pdf,1YdEwNdvXUO6zZ2SGxsZ66wt934hKBWcX,https://drive.google.com/file/d/1YdEwNdvXUO6zZ2SGxsZ66wt934hKBWcX/view?usp=drive_link
2014-09,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science September 2014.pdf,1SxcJgKxinzHxXB_hgI97U8cxJAXKSDfG,https://drive.google.com/file/d/1SxcJgKxinzHxXB_hgI97U8cxJAXKSDfG/view?usp=drive_link
2014-09,Paper 2 Social Studies,CTET Paper-2 SST September 2014.pdf,1SUqJ0AGhfc5klGTQqbNodS8D5Hy3NVES,https://drive.google.com/file/d/1SUqJ0AGhfc5klGTQqbNodS8D5Hy3NVES/view?usp=drive_link
2015-02,Paper 1,CTET Paper-1 February 2015.pdf,1YRBEWZLh5d2zGww79nsCPQzI3PDP8aWe,https://drive.google.com/file/d/1YRBEWZLh5d2zGww79nsCPQzI3PDP8aWe/view?usp=drive_link
2015-02,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science February 2015.pdf,1T3Mo5M9-0QDMooHLfKEIxnTKvLqI4-tG,https://drive.google.com/file/d/1T3Mo5M9-0QDMooHLfKEIxnTKvLqI4-tG/view?usp=drive_link
2015-02,Paper 2 Social Studies,CTET Paper-2 SST February 2015.pdf,1SaHMuDTGSSruNGtNiaLN9d6cqOPoNW9y,https://drive.google.com/file/d/1SaHMuDTGSSruNGtNiaLN9d6cqOPoNW9y/view?usp=drive_link
2015-09,Paper 1,CTET Paper-1 September 2015.pdf,1Y2Uc-sq0vp9IRPlgTgIe9yZwZ8MXbwSb,https://drive.google.com/file/d/1Y2Uc-sq0vp9IRPlgTgIe9yZwZ8MXbwSb/view?usp=drive_link
2015-09,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science September 2015.pdf,1T3Ytg7Bnp1eXJDvPSD_BtUPOGJYgwSMQ,https://drive.google.com/file/d/1T3Ytg7Bnp1eXJDvPSD_BtUPOGJYgwSMQ/view?usp=drive_link
2015-09,Paper 2 Social Studies,CTET Paper-2 SST September 2015.pdf,1Sc3SpG5TmlEuiDLruVrBfEwwj_UgvMPM,https://drive.google.com/file/d/1Sc3SpG5TmlEuiDLruVrBfEwwj_UgvMPM/view?usp=drive_link
2016-02,Paper 1,CTET Paper-1 February 2016.pdf,1_1DPAPD79TwsKSOcTIItzYO3ytqSoKG2,https://drive.google.com/file/d/1_1DPAPD79TwsKSOcTIItzYO3ytqSoKG2/view?usp=drive_link
2016-02,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science February 2016.pdf,1T5djK16wAa7Z63Let_ZlWtSrANwyG4BT,https://drive.google.com/file/d/1T5djK16wAa7Z63Let_ZlWtSrANwyG4BT/view?usp=drive_link
2016-02,Paper 2 Social Studies,CTET Paper-2 SST February 2016.pdf,1RQrOA5KbETsZHKsVezfKbNQMCwtuDsB_,https://drive.google.com/file/d/1RQrOA5KbETsZHKsVezfKbNQMCwtuDsB_/view?usp=drive_link
2016-09,Paper 1,CTET Paper-1 September 2016.pdf,1_1mfzEaX1kQQB1jwjTB-YQTtNzsTpRbW,https://drive.google.com/file/d/1_1mfzEaX1kQQB1jwjTB-YQTtNzsTpRbW/view?usp=drive_link
2016-09,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science September 2016.pdf,1T7M9xva8al5GRbR1T1lyWR12zygd_dYO,https://drive.google.com/file/d/1T7M9xva8al5GRbR1T1lyWR12zygd_dYO/view?usp=drive_link
2016-09,Paper 2 Social Studies,CTET Paper-2 SST September 2016.pdf,1RaK4kHEsY3FueghnRUCGrqH_b-dFGvIQ,https://drive.google.com/file/d/1RaK4kHEsY3FueghnRUCGrqH_b-dFGvIQ/view?usp=drive_link
2018-12,Paper 1,CTET Paper-1 December 2018.pdf,1_4Q6wJ5do4xAewHlyub0tokYB_hU_U1e,https://drive.google.com/file/d/1_4Q6wJ5do4xAewHlyub0tokYB_hU_U1e/view?usp=drive_link
2018-12,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science December 2018.pdf,1TAD_RQT4bmuyRRsWsh_GbAv5edltTBfn,https://drive.google.com/file/d/1TAD_RQT4bmuyRRsWsh_GbAv5edltTBfn/view?usp=drive_link
2018-12,Paper 2 Social Studies,CTET Paper-2 SST December 2018.pdf,1Rao_EQiiTcKXqfHM0QIoQAAJNshXQcOF,https://drive.google.com/file/d/1Rao_EQiiTcKXqfHM0QIoQAAJNshXQcOF/view?usp=drive_link
2019-07,Paper 1,CTET Paper-1 July 2019.pdf,1_A7QBppiKrzZ_4SLFYcsY9K3SVs9ZOQH,https://drive.google.com/file/d/1_A7QBppiKrzZ_4SLFYcsY9K3SVs9ZOQH/view?usp=drive_link
2019-07,Paper 2 Mathematics & Science,CTET Paper-2 Maths Science July 2019.pdf,1TJ7RiVYeZRBwco_PBlBl6MM_sft8zCLN,https://drive.google.com/file/d/1TJ7RiVYeZRBwco_PBlBl6MM_sft8zCLN/view?usp=drive_link
